res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680859465935,1637680859465937,1637680859467406,1637680859468080,1637680859516258,0,1637680859516260
2,2,2,1637680860807452,1637680860807459,1637680860807540,1637680860808079,1637680860876004,1637680860880229,1637680860880254
3,1,4,1637680862738754,1637680862738757,1637680862740282,1637680862741186,1637680862796228,0,1637680862796231
4,2,4,1637680865037178,1637680865037188,1637680865037217,1637680865038952,1637680865084667,1637680865092373,1637680865092421
5,1,6,1637680866907827,1637680866907830,1637680866909881,1637680866910747,1637680866972439,0,1637680866972442
6,2,6,1637680869267926,1637680869267943,1637680869267970,1637680869268675,1637680869418663,1637680869428377,1637680869428459
7,1,8,1637680871129829,1637680871129833,1637680871131559,1637680871132742,1637680871276040,0,1637680871276043
8,2,8,1637680874160041,1637680874160061,1637680874160093,1637680874164084,1637680874353130,1637680874357131,1637680874357247
9,1,10,1637680876094277,1637680876094282,1637680876097339,1637680876098992,1637680876268420,0,1637680876268424
10,2,10,1637680879903056,1637680879903084,1637680879903110,1637680879904875,1637680880160066,1637680880163648,1637680880163831
1,1,12,1637680881977807,1637680881977811,1637680881980998,1637680881982604,1637680882154212,0,1637680882154214
2,2,12,1637680886855785,1637680886855815,1637680886855848,1637680886876251,1637680887324196,1637680887329856,1637680887330084
3,1,14,1637680889154552,1637680889154569,1637680889156659,1637680889158334,1637680889304490,0,1637680889304500
4,2,14,1637680893931743,1637680893931778,1637680893931811,1637680893932991,1637680894362590,1637680894371794,1637680894372072
