res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637680859465601,1637680859465602,1637680859465642,1637680859465650,1637680859465669,1637680859465678,1637680859465854,0,0,1637680859516261
2,2,2,1637680860806958,1637680860806960,1637680860806987,1637680860806990,1637680860807145,1637680860807154,1637680860807171,1637680860875991,1637680860880207,1637680860880254
3,1,4,1637680862738329,1637680862738331,1637680862738377,1637680862738380,1637680862738405,1637680862738413,1637680862738617,0,0,1637680862796231
4,2,4,1637680865035786,1637680865035788,1637680865035818,1637680865035820,1637680865037070,1637680865037079,1637680865037087,1637680865084650,1637680865092350,1637680865092421
5,1,6,1637680866907452,1637680866907454,1637680866907518,1637680866907521,1637680866907548,1637680866907555,1637680866907686,0,0,1637680866972442
6,2,6,1637680869267425,1637680869267427,1637680869267463,1637680869267465,1637680869267613,1637680869267667,1637680869267672,1637680869418647,1637680869428359,1637680869428458
7,1,8,1637680871129262,1637680871129264,1637680871129363,1637680871129365,1637680871129398,1637680871129405,1637680871129596,0,0,1637680871276043
8,2,8,1637680874155446,1637680874155448,1637680874155498,1637680874155501,1637680874159893,1637680874159905,1637680874159916,1637680874353115,1637680874357115,1637680874357246
9,1,10,1637680876093537,1637680876093540,1637680876093693,1637680876093697,1637680876093742,1637680876093750,1637680876094022,0,0,1637680876268424
10,2,10,1637680879902560,1637680879902562,1637680879902612,1637680879902615,1637680879902949,1637680879902957,1637680879902963,1637680880160049,1637680880163631,1637680880163831
1,1,12,1637680881977295,1637680881977297,1637680881977470,1637680881977473,1637680881977512,1637680881977519,1637680881977665,0,0,1637680882154214
2,2,12,1637680886852337,1637680886852339,1637680886852466,1637680886852469,1637680886855470,1637680886855480,1637680886855493,1637680887324168,1637680887329836,1637680887330084
3,1,14,1637680889153828,1637680889153829,1637680889154048,1637680889154051,1637680889154094,1637680889154101,1637680889154288,0,0,1637680889304500
4,2,14,1637680893896214,1637680893896216,1637680893896281,1637680893896284,1637680893931415,1637680893931426,1637680893931434,1637680894362574,1637680894371774,1637680894372071
