res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198682599,1637686198682601,1637686198683056,1637686198683743,1637686198730553,0,1637686198730556
2,2,2,1637686200588302,1637686200588310,1637686200588409,1637686200589095,1637686200777166,1637686200783953,1637686200783977
3,1,4,1637686203718224,1637686203718227,1637686203718676,1637686203749836,1637686203805247,0,1637686203805249
4,2,4,1637686206524596,1637686206524606,1637686206524633,1637686206531328,1637686206992155,1637686206998489,1637686206998537
5,1,6,1637686209953176,1637686209953179,1637686209953606,1637686209954468,1637686210062955,0,1637686210062958
6,2,6,1637686213508052,1637686213508064,1637686213508106,1637686213508739,1637686214049938,1637686214064686,1637686214064768
7,1,8,1637686216619296,1637686216619300,1637686216621097,1637686216621938,1637686216741279,0,1637686216741282
8,2,8,1637686221031555,1637686221031574,1637686221031604,1637686221037764,1637686221876954,1637686221887326,1637686221887451
9,1,10,1637686224866696,1637686224866700,1637686224868141,1637686224869020,1637686224995055,0,1637686224995059
10,2,10,1637686229655920,1637686229655942,1637686229655971,1637686229656763,1637686230664054,1637686230668069,1637686230668243
1,1,12,1637686233225863,1637686233225869,1637686233226440,1637686233227578,1637686233378181,0,1637686233378186
2,2,12,1637686239006105,1637686239006132,1637686239006165,1637686239008109,1637686240157300,1637686240161762,1637686240161991
3,1,14,1637686243145237,1637686243145242,1637686243146588,1637686243148078,1637686243316884,0,1637686243316890
4,2,14,1637686248840177,1637686248840207,1637686248840234,1637686248841219,1637686249991927,1637686249997877,1637686249998168
