res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683395,1637686198683399,1637686198684629,1637686198685472,1637686198731252,0,1637686198731254
2,2,2,1637686200589686,1637686200589695,1637686200590095,1637686200590673,1637686200777530,1637686200784304,1637686200784328
3,1,4,1637686203718938,1637686203718941,1637686203752278,1637686203752859,1637686203805875,0,1637686203805877
4,2,4,1637686206531705,1637686206531715,1637686206531839,1637686206532067,1637686206992518,1637686206998910,1637686206998958
5,1,6,1637686209953889,1637686209953893,1637686209956220,1637686209959916,1637686210063797,0,1637686210063800
6,2,6,1637686213523712,1637686213523735,1637686213523753,1637686213524163,1637686214050408,1637686214065221,1637686214065298
7,1,8,1637686216621207,1637686216621214,1637686216624809,1637686216625332,1637686216741751,0,1637686216741754
8,2,8,1637686221038466,1637686221038484,1637686221038501,1637686221038764,1637686221877264,1637686221887658,1637686221887776
9,1,10,1637686224867733,1637686224867737,1637686224880163,1637686224880875,1637686224997230,0,1637686224997236
10,2,10,1637686229683162,1637686229683184,1637686229683660,1637686229684020,1637686230664215,1637686230668448,1637686230668455
1,1,12,1637686233226636,1637686233226641,1637686233227783,1637686233235499,1637686233379180,0,1637686233379183
2,2,12,1637686239053832,1637686239053860,1637686239053883,1637686239055501,1637686240157789,1637686240162573,1637686240162581
3,1,14,1637686243146387,1637686243146394,1637686243149190,1637686243150006,1637686243317768,0,1637686243317771
4,2,14,1637686248851987,1637686248852015,1637686248852031,1637686248852272,1637686249992113,1637686249998532,1637686249998540
