res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683241,1637686198683245,1637686198683905,1637686198685409,1637686198732473,0,1637686198732480
2,2,2,1637686200589508,1637686200589517,1637686200589831,1637686200590447,1637686200777286,1637686200784063,1637686200784068
3,1,4,1637686203718554,1637686203718559,1637686203750038,1637686203752386,1637686203805758,0,1637686203805762
4,2,4,1637686206532593,1637686206532604,1637686206532623,1637686206532894,1637686206993086,1637686206998816,1637686206998821
5,1,6,1637686209953865,1637686209953869,1637686209954574,1637686209955111,1637686210063450,0,1637686210063456
6,2,6,1637686213524719,1637686213524733,1637686213524750,1637686213531593,1637686214050049,1637686214064856,1637686214064862
7,1,8,1637686216621509,1637686216621517,1637686216626213,1637686216639361,1637686216743186,0,1637686216743187
8,2,8,1637686221039335,1637686221039353,1637686221039371,1637686221039617,1637686221877219,1637686221887833,1637686221887840
9,1,10,1637686224879703,1637686224879710,1637686224879786,1637686224880676,1637686224995550,0,1637686224995552
10,2,10,1637686229747663,1637686229747690,1637686229747719,1637686229768588,1637686230664366,1637686230668342,1637686230668349
1,1,12,1637686233226268,1637686233226275,1637686233227672,1637686233236327,1637686233378722,0,1637686233378742
2,2,12,1637686239011430,1637686239011457,1637686239013043,1637686239019008,1637686240157819,1637686240162111,1637686240162119
3,1,14,1637686243146274,1637686243146282,1637686243149531,1637686243158306,1637686243317642,0,1637686243317646
4,2,14,1637686248897193,1637686248897229,1637686248897256,1637686248915249,1637686249992235,1637686249998333,1637686249998342
