res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683539,1637686198683543,1637686198686530,1637686198686841,1637686198731798,0,1637686198731800
2,2,2,1637686200589637,1637686200589646,1637686200590042,1637686200590431,1637686200777446,1637686200784248,1637686200784274
3,1,4,1637686203718637,1637686203718640,1637686203750262,1637686203751257,1637686203805744,0,1637686203805745
4,2,4,1637686206531721,1637686206531731,1637686206532098,1637686206532330,1637686206992739,1637686206998991,1637686206999039
5,1,6,1637686209953710,1637686209953714,1637686209956231,1637686209957496,1637686210063907,0,1637686210063911
6,2,6,1637686213524345,1637686213524359,1637686213524386,1637686213524777,1637686214050465,1637686214065159,1637686214065240
7,1,8,1637686216620291,1637686216620295,1637686216624401,1637686216624909,1637686216741810,0,1637686216741813
8,2,8,1637686221038890,1637686221038909,1637686221038925,1637686221039175,1637686221877313,1637686221887811,1637686221887922
9,1,10,1637686224867704,1637686224867709,1637686224881640,1637686224882152,1637686224995842,0,1637686224995846
10,2,10,1637686229683103,1637686229683124,1637686229683421,1637686229684035,1637686230664383,1637686230668496,1637686230668663
1,1,12,1637686233226390,1637686233226395,1637686233227906,1637686233228822,1637686233378548,0,1637686233378553
2,2,12,1637686239012934,1637686239012958,1637686239012977,1637686239022253,1637686240157590,1637686240162236,1637686240162244
3,1,14,1637686243146473,1637686243146480,1637686243167613,1637686243168450,1637686243318285,0,1637686243318293
4,2,14,1637686248892015,1637686248892051,1637686248892082,1637686248995352,1637686249992949,1637686249998476,1637686249998485
