res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683038,1637686198683043,1637686198683906,1637686198684496,1637686198731120,0,1637686198731123
2,2,2,1637686200589521,1637686200589530,1637686200589784,1637686200590143,1637686200777324,1637686200784130,1637686200784155
3,1,4,1637686203718587,1637686203718590,1637686203750672,1637686203753066,1637686203806143,0,1637686203806149
4,2,4,1637686206551155,1637686206551166,1637686206551183,1637686206559156,1637686206992304,1637686206998652,1637686206998658
5,1,6,1637686209953919,1637686209953923,1637686209955627,1637686209970749,1637686210063816,0,1637686210063822
6,2,6,1637686213523943,1637686213523957,1637686213523976,1637686213524639,1637686214050643,1637686214065098,1637686214065105
7,1,8,1637686216621401,1637686216621408,1637686216622087,1637686216623873,1637686216742106,0,1637686216742108
8,2,8,1637686221051924,1637686221051945,1637686221051962,1637686221052229,1637686221877133,1637686221887710,1637686221887718
9,1,10,1637686224867488,1637686224867493,1637686224869144,1637686224869785,1637686224996404,0,1637686224996407
10,2,10,1637686229683085,1637686229683108,1637686229683782,1637686229695482,1637686230664259,1637686230668378,1637686230668387
1,1,12,1637686233226347,1637686233226365,1637686233227721,1637686233233750,1637686233378440,0,1637686233378443
2,2,12,1637686239012148,1637686239012174,1637686239012196,1637686239013351,1637686240157753,1637686240162140,1637686240162148
3,1,14,1637686243146238,1637686243146246,1637686243148307,1637686243149181,1637686243317242,0,1637686243317249
4,2,14,1637686248847839,1637686248847868,1637686248847883,1637686248848134,1637686249992782,1637686249998383,1637686249998392
