res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683242,1637686198683246,1637686198684148,1637686198684562,1637686198731245,0,1637686198731248
2,2,2,1637686200589675,1637686200589684,1637686200589974,1637686200590350,1637686200777535,1637686200784287,1637686200784311
3,1,4,1637686203718695,1637686203718698,1637686203750381,1637686203751356,1637686203805806,0,1637686203805809
4,2,4,1637686206532229,1637686206532239,1637686206532257,1637686206532557,1637686206992619,1637686206999072,1637686206999159
5,1,6,1637686209953738,1637686209953741,1637686209955916,1637686209957626,1637686210064057,0,1637686210064060
6,2,6,1637686213524571,1637686213524585,1637686213524602,1637686213525032,1637686214050259,1637686214065104,1637686214065180
7,1,8,1637686216621043,1637686216621049,1637686216625395,1637686216625879,1637686216741866,0,1637686216741869
8,2,8,1637686221038397,1637686221038415,1637686221038432,1637686221038689,1637686221877387,1637686221887885,1637686221888000
9,1,10,1637686224867677,1637686224867682,1637686224882481,1637686224882991,1637686224995694,0,1637686224995697
10,2,10,1637686229692015,1637686229692037,1637686229692053,1637686229692319,1637686230664585,1637686230668696,1637686230668855
1,1,12,1637686233226550,1637686233226555,1637686233231126,1637686233231832,1637686233378875,0,1637686233378878
2,2,12,1637686239011565,1637686239011591,1637686239011744,1637686239012104,1637686240157721,1637686240162343,1637686240162550
3,1,14,1637686243146493,1637686243146499,1637686243167638,1637686243168585,1637686243320395,0,1637686243320400
4,2,14,1637686248841664,1637686248841693,1637686248841710,1637686248842138,1637686249992229,1637686249998501,1637686249998510
