res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683147,1637686198683152,1637686198684069,1637686198684366,1637686198731036,0,1637686198731037
2,2,2,1637686200589755,1637686200589764,1637686200590451,1637686200590659,1637686200777424,1637686200784244,1637686200784269
3,1,4,1637686203718763,1637686203718766,1637686203751404,1637686203751807,1637686203805598,0,1637686203805600
4,2,4,1637686206532030,1637686206532040,1637686206532066,1637686206532440,1637686206992466,1637686206998829,1637686206998877
5,1,6,1637686209953567,1637686209953571,1637686209955789,1637686209956172,1637686210063392,0,1637686210063395
6,2,6,1637686213524008,1637686213524022,1637686213524039,1637686213524271,1637686214050342,1637686214064992,1637686214065072
7,1,8,1637686216620158,1637686216620163,1637686216622137,1637686216623222,1637686216742950,0,1637686216742953
8,2,8,1637686221038225,1637686221038245,1637686221038773,1637686221039094,1637686221877266,1637686221887751,1637686221887759
9,1,10,1637686224867563,1637686224867569,1637686224870140,1637686224870727,1637686224995662,0,1637686224995668
10,2,10,1637686229731717,1637686229731745,1637686229731772,1637686229732094,1637686230664318,1637686230668434,1637686230668442
1,1,12,1637686233226718,1637686233226726,1637686233233365,1637686233234458,1637686233378635,0,1637686233378640
2,2,12,1637686239020691,1637686239020720,1637686239020740,1637686239027777,1637686240157671,1637686240162302,1637686240162311
3,1,14,1637686243146327,1637686243146334,1637686243148597,1637686243152196,1637686243318029,0,1637686243318032
4,2,14,1637686248854217,1637686248854250,1637686248854270,1637686248856006,1637686249992053,1637686249998441,1637686249998450
