res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,2,1638878634262633,1638878634262641,1638878634262657,1638878634264376,1638878634473592,1638878634480816,1638878634480821
2,1,2,1638878636356973,1638878636356977,1638878636358046,1638878636358546,1638878636593363,0,1638878636593377
3,2,4,1638878638833603,1638878638833616,1638878638833643,1638878638834102,1638878639073754,1638878639078458,1638878639078464
4,1,4,1638878640181463,1638878640181468,1638878640183605,1638878640183917,0,0,0
