res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,2,2,1659694570820669,1659694570820670,1659694570820696,1659694570820699,1659694570820821,1659694570820825,1659694570820829,1659694570866243,1659694570868647,1659694570868680
2,2,2,1659694570982598,1659694570982599,1659694570982620,1659694570982622,1659694570982731,1659694570982735,1659694570982740,1659694570986841,1659694570989146,1659694570989181
3,2,2,1659694571115139,1659694571115139,1659694571115155,1659694571115157,1659694571115249,1659694571115253,1659694571115256,1659694571118496,1659694571120689,1659694571120717
