res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,2,1638878634262494,1638878634262506,1638878634262543,1638878634272836,1638878634473634,1638878634480741,1638878634480791
2,1,2,1638878636356891,1638878636356894,1638878636357761,1638878636385190,1638878636593445,0,1638878636593447
3,2,4,1638878638833520,1638878638833534,1638878638833554,1638878638834193,1638878639073615,1638878639078458,1638878639078533
4,1,4,1638878640181220,1638878640181223,1638878640182398,1638878640182945,0,0,0
