res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686016919434,1637686016919438,1637686016921807,1637686016922378,1637686019875509,0,1637686019875511
2,1,2,1637686021789234,1637686021789238,1637686021790351,1637686021790681,1637686023367598,0,1637686023367600
3,1,2,1637686026406341,1637686026406344,1637686026407863,1637686026408244,1637686029179601,0,1637686029179603
4,1,2,1637686031704356,1637686031704360,1637686031705467,1637686031705850,1637686034295662,0,1637686034295664
5,1,2,1637686038310411,1637686038310414,1637686038310430,1637686038310838,1637686041510144,0,1637686041510146
6,1,2,1637686046403296,1637686046403300,1637686046403316,1637686046404154,1637686049596061,0,1637686049596066
7,1,2,1637686054867659,1637686054867664,1637686054867686,1637686054868727,1637686057961157,0,1637686057961161
