res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686016919455,1637686016919459,1637686016921542,1637686016923226,1637686019875268,0,1637686019875269
2,1,2,1637686021789204,1637686021789207,1637686021790232,1637686021791866,1637686023367582,0,1637686023367584
3,1,2,1637686026406294,1637686026406297,1637686026407072,1637686026407502,1637686029163658,0,1637686029163660
4,1,2,1637686031704421,1637686031704424,1637686031705797,1637686031706219,1637686034295839,0,1637686034295842
5,1,2,1637686038311015,1637686038311018,1637686038311034,1637686038311461,1637686041511728,0,1637686041511730
6,1,2,1637686046405059,1637686046405064,1637686046405080,1637686046405516,1637686049596279,0,1637686049596282
7,1,2,1637686054841981,1637686054841984,1637686054842001,1637686054842741,1637686057957766,0,1637686057957770
