res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686016919586,1637686016919590,1637686016920195,1637686016920689,1637686019875136,0,1637686019875141
2,1,2,1637686021788756,1637686021788762,1637686021790035,1637686021800225,1637686023371171,0,1637686023371174
3,1,2,1637686026406946,1637686026406950,1637686026406968,1637686026419822,1637686029179354,0,1637686029179357
4,1,2,1637686031704231,1637686031704234,1637686031705078,1637686031705693,1637686034303465,0,1637686034303468
5,1,2,1637686038308323,1637686038308327,1637686038310402,1637686038310921,1637686041514144,0,1637686041514147
6,1,2,1637686046406473,1637686046406477,1637686046406493,1637686046407014,1637686049619253,0,1637686049619257
7,1,2,1637686054841555,1637686054841559,1637686054841645,1637686054843588,1637686057967764,0,1637686057967768
