res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637681030400025,1637681030400028,1637681030400861,1637681030401438,1637681030476560,0,1637681030476562
2,2,2,1637681032444416,1637681032444423,1637681032444465,1637681032445203,1637681032484963,1637681032527168,1637681032527205
3,1,4,1637681034420185,1637681034420187,1637681034420643,1637681034421707,1637681034505651,0,1637681034505653
4,2,4,1637681037454009,1637681037454026,1637681037454061,1637681037458276,1637681037605467,1637681037629752,1637681037629826
5,1,6,1637681039507991,1637681039507995,1637681039509171,1637681039510460,1637681039628245,0,1637681039628247
6,2,6,1637681043447327,1637681043447345,1637681043447414,1637681043461659,1637681043775962,1637681043783084,1637681043783210
7,1,8,1637681045727097,1637681045727103,1637681045727610,1637681045732626,1637681046026475,0,1637681046026480
8,2,8,1637681050772508,1637681050772526,1637681050772554,1637681050773921,1637681051167687,1637681051170894,1637681051171071
9,1,10,1637681053149733,1637681053149741,1637681053150230,1637681053179203,1637681053428895,0,1637681053428901
10,2,10,1637681058979638,1637681058979662,1637681058979695,1637681058985938,1637681059434762,1637681059438923,1637681059439160
