res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637685952147989,1637685952147994,1637685952148675,1637685952149018,1637685952176439,0,1637685952176441
2,1,2,1637685954132612,1637685954132615,1637685954132630,1637685954132926,1637685954185719,0,1637685954185721
3,1,2,1637685957425069,1637685957425072,1637685957425938,1637685957426520,1637685957599486,0,1637685957599491
4,1,2,1637685960339325,1637685960339329,1637685960339349,1637685960339989,1637685960447753,0,1637685960447756
5,1,2,1637685965181920,1637685965181924,1637685965185894,1637685965203734,1637685965299896,0,1637685965299900
6,1,2,1637685970044364,1637685970044369,1637685970049023,1637685970063193,1637685970249483,0,1637685970249486
7,1,2,1637685975503631,1637685975503638,1637685975503659,1637685975504374,1637685975665281,0,1637685975665285
