res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686260656882,1637686260656885,1637686260660012,1637686260661430,1637686263746731,0,1637686263746733
2,2,2,1637686265462424,1637686265462434,1637686265462678,1637686265463149,1637686265667498,1637686265674680,1637686265674704
3,1,4,1637686267856638,1637686267856641,1637686267857306,1637686267858238,1637686270358853,0,1637686270358855
4,2,4,1637686272783816,1637686272783825,1637686272783853,1637686272791261,1637686273238933,1637686273244507,1637686273244565
5,1,6,1637686275393328,1637686275393332,1637686275394185,1637686275395405,1637686277890476,0,1637686277890478
6,2,6,1637686280576623,1637686280576637,1637686280576664,1637686280579956,1637686280967755,1637686280986309,1637686280986394
7,1,8,1637686283049338,1637686283049342,1637686283051350,1637686283052460,1637686285608476,0,1637686285608479
8,2,8,1637686288556580,1637686288556598,1637686288556680,1637686288557355,1637686289240889,1637686289245647,1637686289245767
9,1,10,1637686291733170,1637686291733174,1637686291733752,1637686291734543,1637686293897573,0,1637686293897576
10,2,10,1637686297736089,1637686297736112,1637686297736146,1637686297737053,1637686298791782,1637686298796347,1637686298796522
1,1,12,1637686301305579,1637686301305586,1637686301306245,1637686301307402,1637686303995581,0,1637686303995584
2,2,12,1637686308580954,1637686308580982,1637686308581063,1637686308581953,1637686309865531,1637686309869770,1637686309870022
3,1,14,1637686312437992,1637686312437998,1637686312439184,1637686312440440,1637686314603857,0,1637686314603861
