res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686260658401,1637686260658408,1637686260662309,1637686260663351,1637686263747733,0,1637686263747735
2,2,2,1637686265465478,1637686265465488,1637686265465506,1637686265465836,1637686265667786,1637686265675018,1637686265675043
3,1,4,1637686267857110,1637686267857114,1637686267858792,1637686267875567,1637686270359413,0,1637686270359414
4,2,4,1637686272791713,1637686272791724,1637686272792249,1637686272792492,1637686273239307,1637686273244811,1637686273244867
5,1,6,1637686275393986,1637686275393990,1637686275396498,1637686275396984,1637686277890959,0,1637686277890962
6,2,6,1637686280596251,1637686280596265,1637686280596724,1637686280596988,1637686280972217,1637686280986751,1637686280986833
7,1,8,1637686283050393,1637686283050397,1637686283054348,1637686283054838,1637686285608811,0,1637686285608814
8,2,8,1637686288558149,1637686288558167,1637686288558424,1637686288558673,1637686289241104,1637686289245994,1637686289246105
9,1,10,1637686291733704,1637686291733709,1637686291734725,1637686291735439,1637686293898544,0,1637686293898552
10,2,10,1637686297738609,1637686297738631,1637686297738653,1637686297743561,1637686298792068,1637686298796748,1637686298796756
1,1,12,1637686301307106,1637686301307115,1637686301307595,1637686301315203,1637686303997112,0,1637686303997119
2,2,12,1637686308583391,1637686308583418,1637686308583434,1637686308583690,1637686309866260,1637686309870348,1637686309870357
3,1,14,1637686312439025,1637686312439032,1637686312442423,1637686312443440,1637686314604686,0,1637686314604693
