res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686260660274,1637686260660303,1637686260665013,1637686260665480,1637686263747729,0,1637686263747732
2,2,2,1637686265465209,1637686265465231,1637686265465252,1637686265465945,1637686265667807,1637686265675035,1637686265675059
3,1,4,1637686267857201,1637686267857204,1637686267858579,1637686267859250,1637686270359592,0,1637686270359594
4,2,4,1637686272792519,1637686272792529,1637686272792546,1637686272792768,1637686273239447,1637686273244901,1637686273244948
5,1,6,1637686275394112,1637686275394116,1637686275397043,1637686275397504,1637686277890981,0,1637686277890983
6,2,6,1637686280596394,1637686280596408,1637686280597174,1637686280597418,1637686280972358,1637686280987050,1637686280987152
7,1,8,1637686283050502,1637686283050506,1637686283061328,1637686283061854,1637686285609133,0,1637686285609136
8,2,8,1637686288558286,1637686288558303,1637686288559102,1637686288559355,1637686289241149,1637686289246204,1637686289246316
9,1,10,1637686291733727,1637686291733731,1637686291735754,1637686291736254,1637686293898067,0,1637686293898070
10,2,10,1637686297737751,1637686297737772,1637686297738123,1637686297738526,1637686298792213,1637686298797006,1637686298797163
1,1,12,1637686301306280,1637686301306284,1637686301308628,1637686301310762,1637686303997769,0,1637686303997773
2,2,12,1637686308582567,1637686308582591,1637686308582616,1637686308582969,1637686309866084,1637686309870389,1637686309870612
3,1,14,1637686312439103,1637686312439107,1637686312454204,1637686312455126,1637686314604432,0,1637686314604437
