res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686260658199,1637686260658205,1637686260661924,1637686260663088,1637686263747295,0,1637686263747296
2,2,2,1637686265464131,1637686265464153,1637686265464285,1637686265466069,1637686265667658,1637686265674890,1637686265674914
3,1,4,1637686267856987,1637686267856990,1637686267858432,1637686267876288,1637686270359659,0,1637686270359664
4,2,4,1637686272793320,1637686272793332,1637686272793347,1637686272793632,1637686273239636,1637686273244685,1637686273244690
5,1,6,1637686275394339,1637686275394353,1637686275395638,1637686275398985,1637686277891083,0,1637686277891085
6,2,6,1637686280603735,1637686280603748,1637686280603766,1637686280604036,1637686280972447,1637686280986525,1637686280986531
7,1,8,1637686283050275,1637686283050280,1637686283052617,1637686283053552,1637686285608843,0,1637686285608849
8,2,8,1637686288559524,1637686288559543,1637686288559561,1637686288559811,1637686289241001,1637686289245901,1637686289245908
9,1,10,1637686291733858,1637686291733864,1637686291734651,1637686291748681,1637686293898091,0,1637686293898095
10,2,10,1637686297737526,1637686297737552,1637686297737770,1637686297738029,1637686298791891,1637686298796662,1637686298796669
1,1,12,1637686301306126,1637686301306133,1637686301307526,1637686301310958,1637686303996592,0,1637686303996597
2,2,12,1637686308583767,1637686308583795,1637686308583811,1637686308584123,1637686309866102,1637686309870156,1637686309870165
3,1,14,1637686312438778,1637686312438786,1637686312440838,1637686312443064,1637686314604244,0,1637686314604254
