res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686260658323,1637686260658329,1637686260663184,1637686260667460,1637686263747434,0,1637686263747436
2,2,2,1637686265464175,1637686265464185,1637686265465480,1637686265465728,1637686265667706,1637686265674947,1637686265674972
3,1,4,1637686267857022,1637686267857026,1637686267858483,1637686267875846,1637686270359563,0,1637686270359565
4,2,4,1637686272791964,1637686272791974,1637686272791990,1637686272792337,1637686273239570,1637686273244828,1637686273244874
5,1,6,1637686275394034,1637686275394037,1637686275395693,1637686275396145,1637686277890877,0,1637686277890880
6,2,6,1637686280596171,1637686280596187,1637686280596482,1637686280596774,1637686280972135,1637686280986586,1637686280986675
7,1,8,1637686283050328,1637686283050332,1637686283052678,1637686283053447,1637686285609107,0,1637686285609113
8,2,8,1637686288567583,1637686288567600,1637686288567616,1637686288567927,1637686289241573,1637686289245978,1637686289245985
9,1,10,1637686291733743,1637686291733748,1637686291736517,1637686291750150,1637686293898411,0,1637686293898417
10,2,10,1637686297737620,1637686297737643,1637686297738140,1637686297738400,1637686298792297,1637686298796711,1637686298796771
1,1,12,1637686301307758,1637686301307765,1637686301307783,1637686301328278,1637686303996897,0,1637686303996902
2,2,12,1637686308582582,1637686308582608,1637686308582624,1637686308582880,1637686309866197,1637686309870353,1637686309870361
3,1,14,1637686312441891,1637686312441898,1637686312442498,1637686312452384,1637686314604232,0,1637686314604241
