res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637681080716261,1637681080716264,1637681080716668,1637681080717460,1637681080945299,0,1637681080945301
2,2,2,1637681083516703,1637681083516721,1637681083516761,1637681083521703,1637681083607441,1637681083609431,1637681083609468
3,1,4,1637681085720485,1637681085720488,1637681085720938,1637681085724254,1637681086057866,0,1637681086057869
4,2,4,1637681089611952,1637681089611963,1637681089611995,1637681089620473,1637681089815666,1637681089869154,1637681089869232
5,1,6,1637681091664099,1637681091664102,1637681091665212,1637681091666307,1637681091959722,0,1637681091959724
6,2,6,1637681096309264,1637681096309279,1637681096309330,1637681096314068,1637681096544696,1637681096559888,1637681096560027
7,1,8,1637681098632292,1637681098632296,1637681098632743,1637681098634170,1637681099083392,0,1637681099083395
8,2,8,1637681104164621,1637681104164638,1637681104164690,1637681104171748,1637681104495638,1637681104515457,1637681104515672
9,1,10,1637681106536894,1637681106536900,1637681106538132,1637681106539874,1637681106791662,0,1637681106791665
10,2,10,1637681111348409,1637681111348441,1637681111348532,1637681111351651,1637681111680298,1637681111691681,1637681111691925
