res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637681080715591,1637681080715593,1637681080715655,1637681080715662,1637681080715683,1637681080715692,1637681080716126,0,0,1637681080945302
2,2,2,1637681083516050,1637681083516053,1637681083516091,1637681083516094,1637681083516541,1637681083516553,1637681083516563,1637681083607417,1637681083609412,1637681083609467
3,1,4,1637681085720125,1637681085720127,1637681085720206,1637681085720209,1637681085720236,1637681085720246,1637681085720427,0,0,1637681086057869
4,2,4,1637681089611563,1637681089611565,1637681089611598,1637681089611601,1637681089611813,1637681089611824,1637681089611833,1637681089815649,1637681089869133,1637681089869232
5,1,6,1637681091663655,1637681091663657,1637681091663771,1637681091663773,1637681091663805,1637681091663813,1637681091663999,0,0,1637681091959724
6,2,6,1637681096307389,1637681096307391,1637681096307431,1637681096307434,1637681096309087,1637681096309097,1637681096309107,1637681096544682,1637681096559867,1637681096560026
7,1,8,1637681098631634,1637681098631636,1637681098631810,1637681098631813,1637681098631849,1637681098631857,1637681098632033,0,0,1637681099083396
8,2,8,1637681104162898,1637681104162900,1637681104162945,1637681104162948,1637681104164328,1637681104164339,1637681104164346,1637681104495624,1637681104515435,1637681104515671
9,1,10,1637681106536361,1637681106536363,1637681106536577,1637681106536580,1637681106536619,1637681106536627,1637681106536826,0,0,1637681106791665
10,2,10,1637681111347820,1637681111347822,1637681111347876,1637681111347878,1637681111348117,1637681111348318,1637681111348326,1637681111680278,1637681111691664,1637681111691925
