res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637680988916115,1637680988916118,1637680988916171,1637680988916180,1637680988916202,1637680988916210,1637680988916389,0,0,1637680989044715
2,2,2,1637680991295668,1637680991295670,1637680991295705,1637680991295708,1637680991299267,1637680991299276,1637680991299282,1637680991373145,1637680991387535,1637680991387599
3,1,4,1637680992730556,1637680992730558,1637680992730621,1637680992730624,1637680992730652,1637680992730660,1637680992731317,0,0,1637680992894291
4,2,4,1637680996036405,1637680996036409,1637680996036444,1637680996036447,1637680996036768,1637680996036777,1637680996036784,1637680996136565,1637680996142839,1637680996142924
5,1,6,1637680997392880,1637680997392882,1637680997392973,1637680997392976,1637680997393006,1637680997393013,1637680997394783,0,0,1637680997707759
6,2,6,1637681001171326,1637681001171328,1637681001171373,1637681001171375,1637681001173025,1637681001173037,1637681001173045,1637681001441068,1637681001455609,1637681001455802
7,1,8,1637681002575907,1637681002575909,1637681002576030,1637681002576033,1637681002576064,1637681002576072,1637681002576240,0,0,1637681002938278
8,2,8,1637681006931395,1637681006931397,1637681006931439,1637681006931442,1637681006931614,1637681006931622,1637681006931625,1637681007145336,1637681007155312,1637681007155479
9,1,10,1637681008263396,1637681008263397,1637681008263559,1637681008263562,1637681008263598,1637681008263605,1637681008263755,0,0,1637681008534168
10,2,10,1637681013084798,1637681013084800,1637681013084853,1637681013084856,1637681013087547,1637681013087557,1637681013087566,1637681013498854,1637681013514831,1637681013515181
1,1,12,1637681014656928,1637681014656930,1637681014657184,1637681014657187,1637681014657237,1637681014657247,1637681014657451,0,0,1637681014976011
2,2,12,1637681019714428,1637681019714430,1637681019714490,1637681019714493,1637681019714728,1637681019714737,1637681019714744,1637681019999363,1637681020001896,1637681020002214
