res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680988916455,1637680988916458,1637680988917176,1637680988920444,1637680989044712,0,1637680989044714
2,2,2,1637680991299378,1637680991299386,1637680991299515,1637680991301576,1637680991373158,1637680991387558,1637680991387599
3,1,4,1637680992731599,1637680992731602,1637680992732376,1637680992733241,1637680992894288,0,1637680992894290
4,2,4,1637680996043309,1637680996043322,1637680996043390,1637680996046203,1637680996136577,1637680996142858,1637680996142924
5,1,6,1637680997395163,1637680997395167,1637680997395681,1637680997400481,1637680997707755,0,1637680997707758
6,2,6,1637681001173304,1637681001173321,1637681001173352,1637681001174867,1637681001441083,1637681001455636,1637681001455803
7,1,8,1637681002576369,1637681002576373,1637681002577249,1637681002578118,1637681002938276,0,1637681002938278
8,2,8,1637681006931978,1637681006931994,1637681006932038,1637681006933087,1637681007145359,1637681007155329,1637681007155479
9,1,10,1637681008264042,1637681008264047,1637681008265125,1637681008266215,1637681008534165,0,1637681008534168
10,2,10,1637681013087891,1637681013087916,1637681013087950,1637681013091173,1637681013498869,1637681013514853,1637681013515183
1,1,12,1637681014657816,1637681014657822,1637681014659071,1637681014660751,1637681014976004,0,1637681014976011
2,2,12,1637681019715097,1637681019715124,1637681019719844,1637681019745899,1637681019999390,1637681020001912,1637681020002216
