res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,2,1637671610619839,1637671610619847,1637671610619886,1637671610640738,1637671611236828,1637671611240039,1637671611240105
2,2,2,1637671616623567,1637671616623574,1637671616623601,1637671616631227,1637671617010116,1637671617014794,1637671617014852
3,2,2,1637671621291780,1637671621291787,1637671621294407,1637671621298399,1637671621693465,1637671621697407,1637671621697561
4,2,2,1637671624871989,1637671624871997,1637671624872058,1637671624943517,1637671625219699,1637671625247995,1637671625248041
5,2,2,1637671627607972,1637671627607982,1637671627608013,1637671627610099,1637671627787490,1637671627791753,1637671627791799
6,2,2,1637671629964486,1637671629964495,1637671629964525,1637671629965756,1637671630143914,1637671630172612,1637671630172651
7,2,2,1637671631239890,1637671631239899,1637671631239931,1637671631241652,1637671631252891,1637671631259192,1637671631259221
