res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948208998,1637680948209004,1637680948212831,1637680948214022,1637680948266717,0,1637680948266719
2,2,2,1637680950108306,1637680950108316,1637680950108778,1637680950110544,1637680950194917,1637680950198979,1637680950199013
3,1,4,1637680951359697,1637680951359700,1637680951359717,1637680951360112,1637680951560164,0,1637680951560166
4,2,4,1637680953852866,1637680953852877,1637680953852892,1637680953853199,1637680953960715,1637680953964892,1637680953964966
5,1,6,1637680955124263,1637680955124267,1637680955125430,1637680955131029,1637680955301618,0,1637680955301624
6,2,6,1637680958470555,1637680958470570,1637680958471015,1637680958473003,1637680958728741,1637680958755914,1637680958755922
7,1,8,1637680959901207,1637680959901212,1637680959903108,1637680959907707,1637680960063500,0,1637680960063506
8,2,8,1637680964118799,1637680964118821,1637680964118844,1637680964123221,1637680964294944,1637680964301423,1637680964301432
9,1,10,1637680965872352,1637680965872358,1637680965872374,1637680965879477,1637680966082080,0,1637680966082082
10,2,10,1637680970973279,1637680970973301,1637680970974088,1637680970974425,1637680971334316,1637680971344360,1637680971344369
1,1,12,1637680972488474,1637680972488483,1637680972491545,1637680972493978,1637680972766648,0,1637680972766652
2,2,12,1637680977517793,1637680977517837,1637680977517870,1637680977518898,1637680977814227,1637680977823870,1637680977823879
