res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948210884,1637680948210890,1637680948212922,1637680948213972,1637680948266898,0,1637680948266900
2,2,2,1637680950108376,1637680950108387,1637680950109062,1637680950109500,1637680950195413,1637680950199045,1637680950199082
3,1,4,1637680951348633,1637680951348636,1637680951349587,1637680951350031,1637680951580381,0,1637680951580408
4,2,4,1637680953853691,1637680953853702,1637680953853729,1637680953854230,1637680953960672,1637680953965245,1637680953965315
5,1,6,1637680955124420,1637680955124425,1637680955128790,1637680955129420,1637680955301230,0,1637680955301233
6,2,6,1637680958470844,1637680958470857,1637680958471921,1637680958472999,1637680958728864,1637680958756171,1637680958756266
7,1,8,1637680959901282,1637680959901287,1637680959903464,1637680959904018,1637680960063282,0,1637680960063285
8,2,8,1637680964113194,1637680964113212,1637680964113231,1637680964113650,1637680964295064,1637680964301545,1637680964301711
9,1,10,1637680965859544,1637680965859550,1637680965859663,1637680965862207,1637680966082285,0,1637680966082289
10,2,10,1637680970973329,1637680970973353,1637680970974482,1637680970975068,1637680971334731,1637680971344477,1637680971344487
1,1,12,1637680972488518,1637680972488527,1637680972491757,1637680972492432,1637680972766574,0,1637680972766585
2,2,12,1637680977524214,1637680977524245,1637680977524269,1637680977531400,1637680977815579,1637680977824007,1637680977824016
