res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637680948207810,1637680948207812,1637680948207864,1637680948207872,1637680948207894,1637680948207903,1637680948208076,0,0,1637680948266204
2,2,2,1637680950105999,1637680950106001,1637680950106031,1637680950106034,1637680950106368,1637680950106377,1637680950106383,1637680950194655,1637680950198674,1637680950198721
3,1,4,1637680951347713,1637680951347715,1637680951347774,1637680951347776,1637680951347803,1637680951347810,1637680951347947,0,0,1637680951559395
4,2,4,1637680953850094,1637680953850096,1637680953850127,1637680953850129,1637680953850309,1637680953850318,1637680953850324,1637680953960244,1637680953964507,1637680953964603
5,1,6,1637680955123082,1637680955123084,1637680955123180,1637680955123183,1637680955123213,1637680955123221,1637680955123377,0,0,1637680955300930
6,2,6,1637680958467873,1637680958467876,1637680958467914,1637680958467917,1637680958468105,1637680958468415,1637680958468425,1637680958728396,1637680958755585,1637680958755705
7,1,8,1637680959899587,1637680959899589,1637680959899716,1637680959899719,1637680959899754,1637680959899761,1637680959899956,0,0,1637680960062582
8,2,8,1637680964039336,1637680964039338,1637680964039386,1637680964039390,1637680964074541,1637680964074552,1637680964074563,1637680964294773,1637680964300453,1637680964300915
9,1,10,1637680965852168,1637680965852170,1637680965852342,1637680965852345,1637680965852381,1637680965852387,1637680965852645,0,0,1637680966081658
10,2,10,1637680970969837,1637680970969839,1637680970969889,1637680970969892,1637680970970087,1637680970970095,1637680970970198,1637680971333931,1637680971343991,1637680971344213
1,1,12,1637680972486150,1637680972486152,1637680972486471,1637680972486476,1637680972486524,1637680972486533,1637680972486924,0,0,1637680972765931
2,2,12,1637680977496404,1637680977496406,1637680977496463,1637680977496466,1637680977499804,1637680977499815,1637680977499824,1637680977813609,1637680977823323,1637680977823675
