res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948210947,1637680948210953,1637680948212396,1637680948214252,1637680948267541,0,1637680948267542
2,2,2,1637680950123107,1637680950123118,1637680950123139,1637680950123493,1637680950194775,1637680950198848,1637680950198854
3,1,4,1637680951358417,1637680951358423,1637680951358439,1637680951359061,1637680951560396,0,1637680951560401
4,2,4,1637680953859460,1637680953859472,1637680953859497,1637680953859905,1637680953960774,1637680953964770,1637680953964777
5,1,6,1637680955124497,1637680955124502,1637680955125372,1637680955139693,1637680955301854,0,1637680955301859
6,2,6,1637680958472061,1637680958472078,1637680958472096,1637680958474809,1637680958728636,1637680958755882,1637680958755889
7,1,8,1637680959901143,1637680959901148,1637680959903059,1637680959904733,1637680960063236,0,1637680960063239
8,2,8,1637680964087881,1637680964087902,1637680964088026,1637680964088372,1637680964295525,1637680964301315,1637680964301323
9,1,10,1637680965872529,1637680965872535,1637680965872550,1637680965873479,1637680966082616,0,1637680966082620
10,2,10,1637680971001973,1637680971001997,1637680971002019,1637680971007808,1637680971334884,1637680971344312,1637680971344320
1,1,12,1637680972488411,1637680972488425,1637680972491372,1637680972497905,1637680972767066,0,1637680972767072
2,2,12,1637680977606917,1637680977606943,1637680977606963,1637680977620238,1637680977814240,1637680977823788,1637680977823797
