res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948208312,1637680948208315,1637680948209170,1637680948212228,1637680948266200,0,1637680948266203
2,2,2,1637680950106616,1637680950106624,1637680950106669,1637680950107594,1637680950194678,1637680950198693,1637680950198721
3,1,4,1637680951348291,1637680951348294,1637680951348687,1637680951349396,1637680951559391,0,1637680951559395
4,2,4,1637680953850633,1637680953850642,1637680953850669,1637680953851594,1637680953960261,1637680953964529,1637680953964603
5,1,6,1637680955123551,1637680955123554,1637680955124271,1637680955125195,1637680955300927,0,1637680955300930
6,2,6,1637680958468541,1637680958468554,1637680958468590,1637680958469559,1637680958728423,1637680958755604,1637680958755706
7,1,8,1637680959900128,1637680959900132,1637680959901397,1637680959902712,1637680960062579,0,1637680960062582
8,2,8,1637680964074896,1637680964074915,1637680964074945,1637680964087279,1637680964294809,1637680964300475,1637680964300916
9,1,10,1637680965852726,1637680965852730,1637680965854127,1637680965855911,1637680966081653,0,1637680966081658
10,2,10,1637680970970628,1637680970970650,1637680970970678,1637680970971979,1637680971333948,1637680971344008,1637680971344213
1,1,12,1637680972487026,1637680972487037,1637680972488592,1637680972491089,1637680972765926,0,1637680972765931
2,2,12,1637680977503625,1637680977503651,1637680977503728,1637680977511672,1637680977813642,1637680977823344,1637680977823676
