res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948209132,1637680948209137,1637680948213224,1637680948213928,1637680948266830,0,1637680948266842
2,2,2,1637680950108408,1637680950108418,1637680950109281,1637680950110370,1637680950195459,1637680950199134,1637680950199163
3,1,4,1637680951368029,1637680951368034,1637680951368054,1637680951369022,1637680951560230,0,1637680951560234
4,2,4,1637680953853958,1637680953853969,1637680953853986,1637680953854388,1637680953960739,1637680953965376,1637680953965651
5,1,6,1637680955124469,1637680955124472,1637680955125517,1637680955126100,1637680955301404,0,1637680955301407
6,2,6,1637680958472181,1637680958472195,1637680958473117,1637680958473507,1637680958728980,1637680958756338,1637680958756433
7,1,8,1637680959901335,1637680959901339,1637680959904604,1637680959905198,1637680960063595,0,1637680960063598
8,2,8,1637680964113942,1637680964113960,1637680964113975,1637680964114369,1637680964295386,1637680964301783,1637680964301988
9,1,10,1637680965854003,1637680965854007,1637680965857551,1637680965858204,1637680966082295,0,1637680966082299
10,2,10,1637680970973227,1637680970973249,1637680970973732,1637680970975205,1637680971334546,1637680971344520,1637680971344727
1,1,12,1637680972488613,1637680972488623,1637680972493907,1637680972494959,1637680972767308,0,1637680972767314
2,2,12,1637680977650660,1637680977650688,1637680977650707,1637680977670867,1637680977819236,1637680977824010,1637680977824018
