res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680903611835,1637680903611839,1637680903614397,1637680903615736,1637680903656959,0,1637680903656962
2,2,2,1637680904874972,1637680904874982,1637680904875014,1637680904875841,1637680904918082,1637680904925902,1637680904925926
3,1,4,1637680906765263,1637680906765267,1637680906770453,1637680906771571,1637680906968358,0,1637680906968362
4,2,4,1637680909161213,1637680909161223,1637680909161238,1637680909161496,1637680909235772,1637680909260291,1637680909260338
5,1,6,1637680910988912,1637680910988916,1637680910992629,1637680910993005,1637680911197061,0,1637680911197064
6,2,6,1637680913786220,1637680913786235,1637680913786250,1637680913786476,1637680913935202,1637680913941967,1637680913942048
7,1,8,1637680915720333,1637680915720337,1637680915753675,1637680915755707,1637680915961587,0,1637680915961591
8,2,8,1637680919239000,1637680919239018,1637680919239035,1637680919239281,1637680919489040,1637680919493986,1637680919494109
9,1,10,1637680921160266,1637680921160271,1637680921162560,1637680921163274,1637680921375706,0,1637680921375710
10,2,10,1637680925073767,1637680925073791,1637680925079517,1637680925085537,1637680925291225,1637680925294044,1637680925294051
1,1,12,1637680927066911,1637680927066919,1637680927103051,1637680927107707,1637680927287238,0,1637680927287247
2,2,12,1637680931996671,1637680931996698,1637680931996718,1637680931997396,1637680932277389,1637680932283104,1637680932283113
3,1,14,1637680934029247,1637680934029262,1637680934047934,1637680934053212,1637680934333474,0,1637680934333483
4,2,14,1637680939542451,1637680939542480,1637680939542497,1637680939543300,1637680939942504,1637680939955748,1637680939955757
